assisted suicide,isPartial,date
51,False,2019-08-11
42,False,2019-08-18
52,False,2019-08-25
42,False,2019-09-01
62,False,2019-09-08
63,False,2019-09-15
69,False,2019-09-22
68,False,2019-09-29
64,False,2019-10-06
87,False,2019-10-13
81,False,2019-10-20
88,False,2019-10-27
91,False,2019-11-03
85,False,2019-11-10
100,False,2019-11-17
66,False,2019-11-24
99,False,2019-12-01
74,False,2019-12-08
50,False,2019-12-15
25,False,2019-12-22
30,False,2019-12-29
54,False,2020-01-05
58,False,2020-01-12
65,False,2020-01-19
63,False,2020-01-26
53,False,2020-02-02
73,False,2020-02-09
83,False,2020-02-16
71,False,2020-02-23
75,False,2020-03-01
67,False,2020-03-08
36,False,2020-03-15
45,False,2020-03-22
46,False,2020-03-29
47,False,2020-04-05
58,False,2020-04-12
58,False,2020-04-19
58,False,2020-04-26
50,False,2020-05-03
40,False,2020-05-10
46,False,2020-05-17
34,False,2020-05-24
40,False,2020-05-31
40,False,2020-06-07
42,False,2020-06-14
43,False,2020-06-21
43,False,2020-06-28
30,False,2020-07-05
39,False,2020-07-12
38,False,2020-07-19
44,False,2020-07-26
44,True,2020-08-02
