commit suicide,isPartial,date
65,False,2019-05-26
72,False,2019-06-02
70,False,2019-06-09
70,False,2019-06-16
70,False,2019-06-23
56,False,2019-06-30
66,False,2019-07-07
63,False,2019-07-14
66,False,2019-07-21
69,False,2019-07-28
89,False,2019-08-04
100,False,2019-08-11
73,False,2019-08-18
59,False,2019-08-25
69,False,2019-09-01
97,False,2019-09-08
74,False,2019-09-15
74,False,2019-09-22
82,False,2019-09-29
76,False,2019-10-06
75,False,2019-10-13
89,False,2019-10-20
77,False,2019-10-27
94,False,2019-11-03
80,False,2019-11-10
73,False,2019-11-17
83,False,2019-11-24
82,False,2019-12-01
84,False,2019-12-08
63,False,2019-12-15
66,False,2019-12-22
76,False,2019-12-29
60,False,2020-01-05
74,False,2020-01-12
77,False,2020-01-19
74,False,2020-01-26
96,False,2020-02-02
74,False,2020-02-09
95,False,2020-02-16
83,False,2020-02-23
86,False,2020-03-01
74,False,2020-03-08
53,False,2020-03-15
62,False,2020-03-22
64,False,2020-03-29
66,False,2020-04-05
70,False,2020-04-12
71,False,2020-04-19
82,False,2020-04-26
71,False,2020-05-03
69,False,2020-05-10
67,True,2020-05-17
