gun,isPartial,date
59,False,2019-08-11
53,False,2019-08-18
49,False,2019-08-25
57,False,2019-09-01
52,False,2019-09-08
52,False,2019-09-15
52,False,2019-09-22
51,False,2019-09-29
50,False,2019-10-06
52,False,2019-10-13
53,False,2019-10-20
53,False,2019-10-27
56,False,2019-11-03
56,False,2019-11-10
59,False,2019-11-17
66,False,2019-11-24
60,False,2019-12-01
60,False,2019-12-08
69,False,2019-12-15
70,False,2019-12-22
70,False,2019-12-29
61,False,2020-01-05
64,False,2020-01-12
71,False,2020-01-19
57,False,2020-01-26
57,False,2020-02-02
59,False,2020-02-09
60,False,2020-02-16
59,False,2020-02-23
58,False,2020-03-01
62,False,2020-03-08
94,False,2020-03-15
79,False,2020-03-22
68,False,2020-03-29
64,False,2020-04-05
67,False,2020-04-12
66,False,2020-04-19
65,False,2020-04-26
64,False,2020-05-03
65,False,2020-05-10
74,False,2020-05-17
68,False,2020-05-24
100,False,2020-05-31
87,False,2020-06-07
87,False,2020-06-14
80,False,2020-06-21
88,False,2020-06-28
78,False,2020-07-05
72,False,2020-07-12
74,False,2020-07-19
73,False,2020-07-26
72,True,2020-08-02
