reckless,isPartial,date
100,False,2019-08-11
94,False,2019-08-18
94,False,2019-08-25
94,False,2019-09-01
100,False,2019-09-08
99,False,2019-09-15
89,False,2019-09-22
83,False,2019-09-29
81,False,2019-10-06
81,False,2019-10-13
92,False,2019-10-20
77,False,2019-10-27
81,False,2019-11-03
87,False,2019-11-10
86,False,2019-11-17
80,False,2019-11-24
85,False,2019-12-01
88,False,2019-12-08
83,False,2019-12-15
87,False,2019-12-22
77,False,2019-12-29
90,False,2020-01-05
83,False,2020-01-12
81,False,2020-01-19
81,False,2020-01-26
84,False,2020-02-02
87,False,2020-02-09
99,False,2020-02-16
92,False,2020-02-23
90,False,2020-03-01
88,False,2020-03-08
75,False,2020-03-15
78,False,2020-03-22
79,False,2020-03-29
83,False,2020-04-05
74,False,2020-04-12
67,False,2020-04-19
77,False,2020-04-26
75,False,2020-05-03
76,False,2020-05-10
74,False,2020-05-17
76,False,2020-05-24
70,False,2020-05-31
73,False,2020-06-07
73,False,2020-06-14
80,False,2020-06-21
80,False,2020-06-28
79,False,2020-07-05
83,False,2020-07-12
79,False,2020-07-19
76,False,2020-07-26
94,True,2020-08-02
