suicide methods,isPartial,date
75,False,2019-08-11
44,False,2019-08-18
47,False,2019-08-25
60,False,2019-09-01
100,False,2019-09-08
64,False,2019-09-15
46,False,2019-09-22
97,False,2019-09-29
74,False,2019-10-06
55,False,2019-10-13
81,False,2019-10-20
87,False,2019-10-27
36,False,2019-11-03
53,False,2019-11-10
63,False,2019-11-17
66,False,2019-11-24
66,False,2019-12-01
67,False,2019-12-08
69,False,2019-12-15
41,False,2019-12-22
72,False,2019-12-29
62,False,2020-01-05
51,False,2020-01-12
49,False,2020-01-19
35,False,2020-01-26
43,False,2020-02-02
39,False,2020-02-09
38,False,2020-02-16
55,False,2020-02-23
70,False,2020-03-01
53,False,2020-03-08
41,False,2020-03-15
24,False,2020-03-22
27,False,2020-03-29
24,False,2020-04-05
34,False,2020-04-12
42,False,2020-04-19
57,False,2020-04-26
53,False,2020-05-03
47,False,2020-05-10
71,False,2020-05-17
32,False,2020-05-24
43,False,2020-05-31
52,False,2020-06-07
75,False,2020-06-14
58,False,2020-06-21
60,False,2020-06-28
47,False,2020-07-05
47,False,2020-07-12
48,False,2020-07-19
39,False,2020-07-26
31,True,2020-08-02
