suicide rates,isPartial,date
32,False,2019-08-11
35,False,2019-08-18
39,False,2019-08-25
46,False,2019-09-01
57,False,2019-09-08
55,False,2019-09-15
50,False,2019-09-22
60,False,2019-09-29
52,False,2019-10-06
56,False,2019-10-13
54,False,2019-10-20
63,False,2019-10-27
68,False,2019-11-03
59,False,2019-11-10
55,False,2019-11-17
49,False,2019-11-24
60,False,2019-12-01
53,False,2019-12-08
45,False,2019-12-15
32,False,2019-12-22
32,False,2019-12-29
36,False,2020-01-05
44,False,2020-01-12
45,False,2020-01-19
49,False,2020-01-26
48,False,2020-02-02
53,False,2020-02-09
58,False,2020-02-16
51,False,2020-02-23
54,False,2020-03-01
55,False,2020-03-08
41,False,2020-03-15
61,False,2020-03-22
74,False,2020-03-29
69,False,2020-04-05
84,False,2020-04-12
100,False,2020-04-19
78,False,2020-04-26
77,False,2020-05-03
79,False,2020-05-10
75,False,2020-05-17
74,False,2020-05-24
40,False,2020-05-31
39,False,2020-06-07
63,False,2020-06-14
45,False,2020-06-21
51,False,2020-06-28
60,False,2020-07-05
55,False,2020-07-12
51,False,2020-07-19
55,False,2020-07-26
42,True,2020-08-02
