the suicide squad,isPartial,date
36,False,2019-05-12
27,False,2019-05-19
38,False,2019-05-26
38,False,2019-06-02
34,False,2019-06-09
34,False,2019-06-16
34,False,2019-06-23
32,False,2019-06-30
37,False,2019-07-07
24,False,2019-07-14
40,False,2019-07-21
40,False,2019-07-28
37,False,2019-08-04
44,False,2019-08-11
28,False,2019-08-18
48,False,2019-08-25
43,False,2019-09-01
100,False,2019-09-08
75,False,2019-09-15
43,False,2019-09-22
82,False,2019-09-29
92,False,2019-10-06
87,False,2019-10-13
79,False,2019-10-20
59,False,2019-10-27
33,False,2019-11-03
34,False,2019-11-10
27,False,2019-11-17
27,False,2019-11-24
25,False,2019-12-01
40,False,2019-12-08
26,False,2019-12-15
53,False,2019-12-22
33,False,2019-12-29
32,False,2020-01-05
42,False,2020-01-12
37,False,2020-01-19
46,False,2020-01-26
73,False,2020-02-02
79,False,2020-02-09
64,False,2020-02-16
63,False,2020-02-23
62,False,2020-03-01
30,False,2020-03-08
32,False,2020-03-15
33,False,2020-03-22
51,False,2020-03-29
49,False,2020-04-05
41,False,2020-04-12
37,False,2020-04-19
51,False,2020-04-26
31,False,2020-05-03
